Rank,Name,Total_Net_Worth,LastChange,YTDChange,Country,Industry
164,Zhang Congyuan ,13.5,-0.143,8.41,Taiwan,Industrial
165,Robert Pera ,13.4,-0.443,1.21,UnitedStates,Technology
166,Charles Ergen ,13.3,-0.328,2.62,UnitedStates,Media&Telecom
167,Leon Black ,13.1,-0.125,3.15,UnitedStates,Finance
168,Gong Hongjia ,13.0,-0.14,2.94,China,Technology
169,Savitri Jindal ,13.0,0.203,5.65,India,Commodities
170,Hugh Grosvenor ,12.9,0.0,0.205,UnitedKingdom,Real Estate
171,Tobi Lutke ,12.4,0.129,2.6,Canada,Technology
172,George Roberts ,12.4,0.367,4.06,UnitedStates,Finance
173,Fan Hongwei ,12.4,0.337,-0.133,China,Energy
174,Brian Armstrong ,12.2,0.288,2.14,UnitedStates,Technology
175,David Geffen ,12.2,-0.155,1.13,UnitedStates,Entertainment
176,Ugur Sahin ,12.2,-0.22,8.73,Germany,Health Care
177,Dang Yanbao ,12.2,-0.821,2.76,China,Energy
178,Liu Hanyuan ,12.2,0.343,4.74,China,Industrial
179,Sun Piaoyang ,12.1,0.833,-9.21,China,Health Care
180,Kumar Birla ,12.0,-0.398,5.18,India,Industrial
181,Henry Kravis ,12.0,0.341,3.77,UnitedStates,Finance
182,Marijke Mars ,11.9,-0.253,1.51,UnitedStates,Food&Beverage
183,Victoria Mars ,11.9,-0.253,1.51,UnitedStates,Food&Beverage
184,Pamela Mars-Wright ,11.9,-0.253,1.51,UnitedStates,Food&Beverage
185,Valerie Mars ,11.9,-0.253,1.51,UnitedStates,Food&Beverage
186,Jorge Moll&family ,11.9,-0.224,-2.47,Brazil,Health Care
187,Joe Gebbia ,11.8,-0.704,1.58,UnitedStates,Services
188,Melinda French Gates,11.8,-0.53,11.8,UnitedStates,Diversified
189,Robin Li ,11.8,-0.452,-3.84,China,Technology
190,Nathan Blecharczyk ,11.8,-0.683,1.5,UnitedStates,Services
191,Liu Jincheng ,11.7,-0.299,3.65,China,Industrial
192,Eyal Ofer ,11.7,0.494,1.35,Israel,Services
193,Alejandro Santo Domingo&family,11.7,-0.259,-0.821,Colombia,Food&Beverage
194,Steven Rales ,11.6,0.243,3.38,UnitedStates,Industrial
195,Sarath Ratanavadi ,11.5,-0.247,2.29,Thailand,Energy
196,Raymond Kwok ,11.5,0.413,0.341,HongKong,Real Estate
197,Jim Davis ,11.5,0.76,-2.18,UnitedStates,Consumer
198,Marc Benioff ,11.5,0.306,2.54,UnitedStates,Technology
199,Sunil Mittal ,11.4,-0.103,2.55,India,Media&Telecom
200,Paolo Rocca&family ,11.4,-0.14,1.41,Italy,Commodities
201,Patrick Collison ,11.4,0.0,7.08,Ireland,Technology
202,John Collison ,11.4,0.0,7.08,Ireland,Technology
203,Suleiman Kerimov ,11.3,-0.981,1.44,RussianFederation,Commodities
204,Dmitry Rybolovlev ,11.3,-0.638,0.888,RussianFederation,Diversified
205,Qi Shi ,11.2,0.179,1.03,China,Finance
206,Stan Kroenke ,11.2,0.0,2.86,UnitedStates,Real Estate
207,Jin Baofang ,11.2,1.01,6.46,China,Energy
208,Micky Arison ,11.2,0.163,1.12,UnitedStates,Entertainment
209,Gang Ye ,11.2,-0.309,4.88,Singapore,Technology
210,Brian Kim ,11.2,-0.594,4.22,Korea,Technology
211,Pierre Omidyar ,11.1,0.28,-0.143,UnitedStates,Technology
212,Thomas Kwok ,11.1,0.373,0.328,HongKong,Real Estate
213,Steve Cohen ,11.1,0.543,0.92,UnitedStates,Finance
214,Rinat Akhmetov ,11.1,-0.103,3.53,Ukraine,Industrial
215,Carl Bennet ,11.0,-0.228,4.18,Sweden,Finance
216,Anders Holch Povlsen&family,11.0,-0.115,1.65,Denmark,Retail
217,John Grayken ,11.0,-0.766,2.8,Ireland,Finance
218,Zhou Qunfei ,11.0,0.69,-4.02,China,Technology
219,Antonia Axson Johnson,11.0,-0.459,1.86,Sweden,Industrial
220,Bobby Murphy ,10.7,-0.357,0.657,UnitedStates,Technology
221,Heinrich Deichmann&family ,10.7,-0.179,0.14,Germany,Retail
222,Harry Triguboff ,10.7,0.0,1.01,Australia,Real Estate
